timestep,ep_return,ep_return_max,ep_return_min,ep_length,fps
460800,512.6606,553.64246,467.34338,768.0,3587.9793946374944
921600,520.79926,561.9132,482.2417,768.0,4778.625191400017
1382400,522.3563,557.32214,467.28122,768.0,5359.1017552416215
1843200,542.497,579.07715,488.5512,768.0,5418.996950948946
2304000,548.1121,576.964,509.6572,768.0,5680.147681351589
2764800,577.20435,609.6585,543.80316,768.0,5873.387722262842
3225600,579.7632,607.6422,547.0061,768.0,5836.517853442619
3686400,570.8845,597.8479,535.3095,768.0,5965.365525954391
4147200,578.1855,609.12823,546.57855,768.0,6069.5973333234215
4608000,590.45416,619.63153,559.588,768.0,6156.8338754415645
5068800,597.6934,623.65845,569.8438,768.0,6115.604472763187
5529600,593.83734,619.7758,564.9795,768.0,6184.146475102692
5990400,591.9584,618.89667,560.2897,768.0,6242.126125865002
6451200,582.6133,610.695,549.35016,768.0,6200.838211552653
6912000,584.1082,607.7385,552.6202,768.0,6245.562260190544
7372800,592.6873,617.8525,553.3195,768.0,6286.144103361278
7833600,594.95905,617.32587,558.1653,768.0,6244.276046365366
8294400,605.31165,624.8908,585.187,768.0,6281.9679344082815
8755200,615.77716,635.5288,591.50354,768.0,6315.3233022651375
9216000,624.3234,641.05304,606.18787,768.0,6346.255767031981
9676800,635.8708,654.50323,619.6071,768.0,6314.308191032554
10137600,637.17175,655.21533,617.56354,768.0,6343.431255932184
10598400,643.0191,660.3663,626.0156,768.0,6369.672011156002
11059200,644.26697,657.6084,629.13306,768.0,6341.011295856981
11520000,642.8232,656.2131,629.7185,768.0,6365.830729435547
11980800,642.43823,654.4584,620.48444,768.0,6388.871672094881
12441600,642.01794,652.69604,627.8261,768.0,6362.99179382403
12902400,645.91046,657.6646,633.7929,768.0,6385.000316829475
13363200,649.4496,661.60693,635.68066,768.0,6405.382581115058
13824000,650.1071,661.893,635.0117,768.0,6424.186776847044
14284800,651.6214,663.6768,639.4458,768.0,6399.89558203555
14745600,652.70416,663.56274,640.00183,768.0,6417.713965982918
15206400,654.2491,664.4882,643.21967,768.0,6434.389777504543
15667200,652.5413,662.8048,640.5865,768.0,6411.9381647680575
16128000,653.0542,664.3134,642.4429,768.0,6427.994844430453
16588800,654.486,666.7538,638.6702,768.0,6443.127321963917
17049600,657.43774,670.0967,639.0215,768.0,6421.203610264876
17510400,660.05914,672.5346,647.48505,768.0,6435.975083337197
17971200,660.67004,671.28424,647.24506,768.0,6449.736481711404
18432000,661.0287,672.73785,647.81964,768.0,6462.898918657413
18892800,662.82025,676.0916,649.50476,768.0,6443.402105275803
19353600,663.72314,674.1801,649.01996,768.0,6456.054121004693
19814400,664.17737,673.7829,651.2986,768.0,6468.004728345494
