timestep,ep_return,ep_return_max,ep_return_min,ep_length,fps
460800,664.27246,708.0,609.1406,768.0,4839.023370986569
921600,738.74854,760.6094,706.9922,768.0,6248.416639985367
1382400,729.0571,753.08594,695.89844,768.0,6910.456339744122
1843200,738.3689,758.39844,708.15625,768.0,6865.6739531918665
2304000,734.3032,758.0,698.6172,768.0,7184.064091678352
2764800,746.5695,762.6719,727.1875,768.0,7418.811709539432
3225600,746.90125,763.2969,730.9922,768.0,7311.728571039297
3686400,743.88043,760.85156,718.83594,768.0,7471.275901672516
4147200,748.77057,762.35156,734.1797,768.0,7608.839348642999
4608000,748.4146,760.1172,728.33594,768.0,7724.289121625119
5068800,749.843,762.1406,733.9453,768.0,7633.029728646731
5529600,747.4002,762.0625,731.78906,768.0,7725.843784319794
5990400,748.0486,761.34375,732.84375,768.0,7801.660002029551
6451200,744.89307,760.375,729.8906,768.0,7724.694170796359
6912000,747.09424,760.60156,731.6406,768.0,7796.225243034228
7372800,744.1505,757.53125,725.7578,768.0,7859.100973258873
7833600,741.9403,755.78906,721.7578,768.0,7787.727175415005
8294400,738.75806,756.6328,719.21094,768.0,7842.470280399872
8755200,747.9048,761.78125,729.91406,768.0,7894.006774474285
9216000,749.61005,760.28906,737.9531,768.0,7943.657602166271
9676800,750.52313,762.0156,738.4297,768.0,7886.8375355083535
10137600,751.6697,761.8281,739.65625,768.0,7931.908357585559
10598400,751.1763,762.53906,737.7969,768.0,7973.5164183841825
11059200,752.1792,761.3672,740.3047,768.0,7925.393827682227
11520000,752.18854,760.3047,740.90625,768.0,7964.68389946043
11980800,752.6171,762.7969,739.90625,768.0,8001.438575526061
12441600,753.04614,761.53906,742.7031,768.0,7957.996743505407
12902400,753.17706,762.6172,740.8906,768.0,7992.604781957576
13363200,749.7906,761.3125,733.7969,768.0,8023.457003819208
13824000,751.00684,761.03125,736.4531,768.0,8053.4192516026915
14284800,751.92316,761.5,739.33594,768.0,8012.609337143538
14745600,752.769,761.40625,718.9531,768.0,8041.175797862816
15206400,753.0884,762.15625,743.2656,768.0,8068.2495245761775
15667200,752.8849,762.875,742.8672,768.0,8030.827742613009
16128000,752.777,761.6172,741.3281,768.0,8056.804709333894
16588800,752.8565,786.9531,720.0156,768.0,8081.31898779202
17049600,753.11646,784.3594,741.89844,768.0,8046.788829524635
17510400,753.05054,762.875,720.2969,768.0,8070.241933585403
17971200,753.37396,782.3672,742.2422,768.0,8092.596350593823
18432000,753.31744,763.0156,741.58594,768.0,8114.17443861769
18892800,752.9335,782.9219,722.52344,768.0,8081.576299814932
19353600,753.0466,780.1719,726.53125,768.0,8102.260390603895
19814400,752.98865,762.4453,719.4844,768.0,8122.133713425733
20275200,752.854,761.6719,724.46094,768.0,8092.073007165101
20736000,753.2236,761.6719,741.3125,768.0,8109.699552649349
21196800,753.17957,761.64844,742.4531,768.0,8126.674457764291
21657600,752.89215,761.5,717.3203,768.0,8095.259542170276
22118400,753.2619,781.1094,742.1875,768.0,8112.143527010732
22579200,753.30615,784.39844,743.8594,768.0,8128.067990917756
23040000,753.11926,762.1172,741.625,768.0,8143.539548380153
23500800,753.1118,761.39844,737.66406,768.0,8113.498855475453
23961600,752.44525,761.41406,739.9922,768.0,8127.974622111411
24422400,752.7167,781.97656,724.8594,768.0,8142.171220361391
24883200,752.5622,760.4375,724.40625,768.0,8114.236573045157
25344000,753.3135,788.8828,718.1094,768.0,8128.268793905301
25804800,750.0578,785.1953,716.5078,768.0,8141.671968310547
26265600,752.7314,788.4922,722.78906,768.0,8115.132208121369
26726400,752.8617,777.03906,717.03906,768.0,8128.439132101496
27187200,753.43915,779.97656,741.75,768.0,8141.329971810623
27648000,753.09314,763.91406,720.90625,768.0,8153.8019989669665
28108800,753.1835,783.6875,742.2422,768.0,8129.68070439751
28569600,753.21326,783.9922,720.96094,768.0,8143.015652495974
29030400,752.9385,762.1719,719.52344,768.0,8155.9319275172975
29491200,753.10864,783.3047,740.35156,768.0,8134.338198996705
29952000,752.9557,764.5156,741.0156,768.0,8146.944190161224
30412800,753.1921,761.96875,741.53125,768.0,8159.204528566707
30873600,753.0873,762.8906,724.47656,768.0,8137.572504855593
31334400,753.06445,762.78906,725.41406,768.0,8149.279588742992
31795200,752.89374,761.66406,723.8281,768.0,8160.88161399562
32256000,753.2128,783.08594,727.58594,768.0,8171.932436263561
32716800,753.3425,762.9375,741.1797,768.0,8151.25598998295
33177600,753.2089,785.35156,730.03125,768.0,8162.608785572198
33638400,753.1668,780.35156,729.125,768.0,8173.168440750579
34099200,753.1109,784.6328,721.47656,768.0,8153.724500013673
34560000,753.02545,785.5156,720.6875,768.0,8163.924246968822
35020800,752.6811,761.4453,720.7656,768.0,8173.643899244611
35481600,753.1573,788.02344,726.5469,768.0,8153.744485279792
35942400,753.395,783.6797,741.03906,768.0,8164.084039965084
36403200,752.9741,763.52344,742.09375,768.0,8174.33073653131
36864000,753.1273,765.3828,726.2578,768.0,8184.259404464952
37324800,753.25806,763.03906,722.47656,768.0,8166.739949996218
37785600,753.32446,762.5,743.2422,768.0,8177.096581772958
38246400,753.2038,782.41406,725.84375,768.0,8186.522949277786
38707200,753.23834,764.7031,742.3672,768.0,8170.195402536484
39168000,753.3465,765.4219,741.7031,768.0,8180.017772592332
39628800,753.1288,761.3828,740.8594,768.0,8189.093093353807
40089600,753.4528,761.6875,742.3203,768.0,8173.742839418736
40550400,753.1691,764.5469,741.85156,768.0,8183.162947394368
41011200,753.4268,779.27344,742.22656,768.0,8191.867092091536
41472000,753.2128,762.3203,741.6875,768.0,8200.449630355544
41932800,753.11523,763.41406,739.0156,768.0,8185.051710755099
42393600,753.2049,761.0156,727.0,768.0,8193.548887308381
42854400,752.8711,762.39844,720.96875,768.0,8201.81634578493
43315200,752.8985,762.2422,720.3203,768.0,8186.457879215673
43776000,752.59265,781.02344,721.66406,768.0,8194.610378612073
44236800,753.1987,784.84375,714.5,768.0,8202.684769421032
44697600,753.23755,785.3672,724.28125,768.0,8187.782347927749
45158400,753.43207,782.5625,742.1328,768.0,8195.823247964154
45619200,753.3651,785.71094,742.33594,768.0,8203.69285230484
46080000,752.9795,763.35156,741.7344,768.0,8210.75802896798
46540800,753.08765,761.90625,743.15625,768.0,8195.412338904865
47001600,753.09283,762.375,741.6406,768.0,8202.909084164205
47462400,753.4346,786.5469,721.6328,768.0,8210.252944804157
47923200,753.2522,762.4453,724.41406,768.0,8195.387882258663
48384000,753.3757,763.91406,742.9375,768.0,8202.007648583887
