timestep,ep_return,ep_return_max,ep_return_min,ep_length,fps
460800,-0.018333334,3.0,-1.0,768.0,4878.182755536413
921600,-0.026666667,1.0,-4.0,768.0,6474.354399811859
1382400,0.0033333334,5.0,-5.0,768.0,7260.483910604102
1843200,0.013333334,5.0,-6.0,768.0,7315.737950196422
2304000,-0.018333334,4.0,-7.0,768.0,7685.668316774762
2764800,0.005,3.0,-4.0,768.0,7958.706184985609
3225600,0.08166667,8.0,-4.0,768.0,7892.128077536385
3686400,0.02,8.0,-4.0,768.0,8073.134875614888
4147200,0.030000001,5.0,-5.0,768.0,8216.804903248556
4608000,0.0,4.0,-3.0,768.0,8333.314149931235
5068800,0.043333333,7.0,-4.0,768.0,8244.197325138388
5529600,0.035,5.0,-3.0,768.0,8335.889153650922
5990400,0.006666667,1.0,-2.0,768.0,8405.727049006022
6451200,0.046666667,7.0,-5.0,768.0,8298.244374349795
6912000,0.008333334,4.0,-3.0,768.0,8354.053679503382
7372800,0.038333334,11.0,-3.0,768.0,8403.296066830322
7833600,0.013333334,1.0,-1.0,768.0,8305.69619800698
8294400,0.08833334,8.0,-3.0,768.0,8356.631438929877
8755200,0.058333334,6.0,-3.0,768.0,8402.272511567193
9216000,0.09833334,3.0,-1.0,768.0,8448.89058582253
9676800,0.09,3.0,-1.0,768.0,8379.431963252106
10137600,0.11333334,4.0,-1.0,768.0,8422.220466650979
10598400,0.083333336,4.0,-1.0,768.0,8461.600330545767
11059200,0.006666667,3.0,-4.0,768.0,8402.735143971391
11520000,0.185,4.0,-3.0,768.0,8443.274506752205
11980800,0.20833334,4.0,-3.0,768.0,8482.35750511396
12441600,0.19166668,3.0,-3.0,768.0,8432.366504823623
12902400,0.19500001,2.0,-1.0,768.0,8466.99733137395
13363200,0.14666668,3.0,-3.0,768.0,8500.784426592685
13824000,0.275,4.0,-1.0,768.0,8532.946661611435
14284800,0.20666668,4.0,-3.0,768.0,8493.496832661327
14745600,0.28333333,5.0,-1.0,768.0,8525.142693248827
15206400,0.10666667,1.0,-3.0,768.0,8556.513196380374
15667200,0.27,3.0,-1.0,768.0,8520.633067096143
16128000,0.37,3.0,-1.0,768.0,8549.23663123262
16588800,0.23833334,3.0,-1.0,768.0,8574.57312401574
17049600,0.33333334,3.0,-1.0,768.0,8537.869717543941
17510400,0.38500002,9.0,-1.0,768.0,8561.552323237223
17971200,0.50333333,6.0,-8.0,768.0,8580.860888892295
18432000,0.37166667,8.0,-4.0,768.0,8600.857592270388
18892800,0.60833335,8.0,-1.0,768.0,8557.792399258815
19353600,0.80333334,6.0,-4.0,768.0,8576.44949061894
19814400,0.9116667,9.0,-3.0,768.0,8598.11061699624
