timestep,ep_return,ep_return_max,ep_return_min,ep_length,fps
460800,725.59534,950.7021,467.10284,768.0,4098.129752370644
921600,860.46295,1061.0968,572.69775,768.0,5585.055675776644
1382400,1033.3884,1185.9897,831.5964,768.0,6374.228470948705
1843200,1150.5679,1221.5906,989.79486,768.0,6425.293466291751
2304000,1181.098,1223.0906,1107.8949,768.0,6777.0035833405145
2764800,1187.818,1216.7908,1126.2959,768.0,7039.633027209517
3225600,1185.6625,1214.7908,1087.0992,768.0,6985.287071157742
3686400,1188.7908,1221.1906,1125.4026,768.0,7163.400533839224
4147200,1188.9574,1220.4906,1114.5068,768.0,7315.8106159760355
4608000,1191.3535,1226.4905,1137.2948,768.0,7436.404705057199
5068800,1192.4523,1219.5906,1138.691,768.0,7356.056756238969
5529600,1192.3566,1223.2905,1143.0017,768.0,7455.132932846655
5990400,1192.1246,1222.0906,1144.095,768.0,7539.044396924475
6451200,1188.1676,1219.8906,1128.19,768.0,7470.636442579077
6912000,1185.7257,1221.8906,1113.2001,768.0,7544.229024331104
7372800,1187.1877,1225.6908,1124.3964,768.0,7610.189913640634
7833600,1188.7772,1224.5906,1131.5017,768.0,7545.149329279857
8294400,1187.9838,1217.3907,1117.899,768.0,7603.472831764955
8755200,1189.2792,1223.1906,1132.9957,768.0,7658.935128119874
9216000,1189.9509,1219.2906,1132.8021,768.0,7710.798549337975
9676800,1190.9243,1223.4906,1141.0941,768.0,7659.817259143799
10137600,1188.3068,1226.8905,1130.7012,768.0,7706.707368971181
10598400,1187.3954,1225.0906,1107.6996,768.0,7749.199652713939
11059200,1191.8455,1220.8906,1142.3,768.0,7699.807397529528
11520000,1191.9119,1219.7906,1141.9963,768.0,7739.018160569269
11980800,1190.849,1221.9906,1146.6909,768.0,7776.312695667826
12441600,1192.9303,1221.1906,1145.2968,768.0,7733.7736156965775
12902400,1193.355,1221.6907,1154.2974,768.0,7769.934535094648
13363200,1192.67,1219.7906,1155.8965,768.0,7803.202140875928
13824000,1193.1254,1224.8905,1148.0906,768.0,7836.359176196522
14284800,1193.094,1223.0906,1158.9973,768.0,7801.627905645048
14745600,1193.1969,1220.2906,1160.1903,768.0,7832.2214041022435
15206400,1193.1842,1219.2906,1162.3916,768.0,7860.46282672145
15667200,1192.3441,1226.4905,1151.0905,768.0,7822.855721061396
16128000,1193.2212,1217.4907,1130.6958,768.0,7849.194012957209
16588800,1193.1042,1219.7906,1145.0972,768.0,7875.1797686020755
17049600,1191.743,1223.4906,1150.3971,768.0,7840.582672190794
17510400,1192.377,1220.1907,1147.2999,768.0,7864.397333365709
17971200,1191.744,1223.2905,1147.0906,768.0,7887.881286629256
18432000,1192.509,1219.5906,1148.597,768.0,7912.039142645259
18892800,1193.7375,1222.5906,1151.8904,768.0,7879.768400141624
19353600,1192.4808,1221.3906,1151.4972,768.0,7899.503625106119
19814400,1193.1298,1222.8906,1150.1971,768.0,7918.499235636237
